"email","fechaPrimeraVisita","fechaUltimaVisita","visitasTotales","visitasAnioActual","visitasMesActual","jyv","Badmail","Baja","Fecha envío","Fecha open","Opens","Opens virales","Fecha click","Clicks","Clicks virales","Links","IPs","Navegadores","Plataformas","errores"
"josefa.o@corregidora.com","08/09/2023 10:00","20260222","90","15","5","N","N","N","22/02/2026 11:00","22/02/2026 11:05","3","0","22/02/2026 11:10","2","0","https://bit.ly/3x20","201.9.9.9","Safari","iOS","0"
"vicente.f@ranchero.com","17/02/2025 09:00","20260217","35","10","2","S","N","N","17/02/2026 10:00","17/02/2026 10:15","2","0","17/02/2026 10:20","1","0","https://bit.ly/3x21","187.7.7.7","Chrome","Windows","0"
"macario.leñero@cine.com","02/11/2023 21:00","20260218","60","12","4","S","N","N","18/02/2026 19:00","18/02/2026 19:05","1","0","18/02/2026 19:10","1","0","https://bit.ly/3x22","192.168.10.1","Chrome","Windows","0"
"ignacio.l@actor.mx","15/05/2024 14:00","20260222","42","8","3","N","N","N","22/02/2026 14:00","22/02/2026 14:05","2","0","22/02/2026 14:10","1","0","https://bit.ly/3x23","201.8.8.8","Chrome","Android","0"
"salma.h@hollywood.com","02/09/2023 18:00","20260214","110","20","5","S","N","N","14/02/2026 12:00","14/02/2026 12:10","8","2","14/02/2026 12:15","5","1","https://bit.ly/3x24","187.3.3.3","Safari","iOS","0"
"gullermo.d@cine.com","09/10/2024 10:00","20260220","28","6","2","N","N","N","20/02/2026 15:00","20/02/2026 15:30","2","0","20/02/2026 15:45","1","0","https://bit.ly/3x25","172.10.10.1","Chrome","MacOS","0"
"alfonso.c@roma.mx","12/12/2024 09:00","20260221","14","3","1","S","N","N","21/02/2026 16:00","21/02/2026 16:05","1","0","21/02/2026 16:10","1","0","https://bit.ly/3x26","189.1.1.1","Firefox","Windows","0"
"alejandro.i@oscar.com","20/01/2025 15:00","20260219","36","9","2","N","N","N","19/02/2026 09:00","19/02/2026 09:10","3","0","19/02/2026 09:15","2","0","https://bit.ly/3x27","201.1.1.1","Chrome","Windows","0"
"octavio.p@nobe.mx","31/03/2024 11:00","20260210","48","6","1","S","N","N","10/02/2026 11:00","10/02/2026 11:15","2","0","10/02/2026 11:20","1","0","https://bit.ly/3x28","10.0.0.9","Chrome","Windows","0"
"gabriel.m@macondo.co","06/03/2023 10:00","20260222","300","50","15","N","N","N","22/02/2026 08:00","22/02/2026 08:05","12","4","22/02/2026 08:10","8","3","https://bit.ly/3x29","187.5.5.5","Safari","iOS","0"
"mario.v@peru.pe","28/03/2024 14:00","20260205","75","10","2","S","N","N","05/02/2026 10:00","05/02/2026 10:30","2","0","05/02/2026 10:45","1","0","https://bit.ly/3x30","192.168.1.50","Chrome","Windows","0"
"isabel.a@chile.cl","12/08/2023 17:00","20260215","130","28","7","N","N","N","15/02/2026 14:00","15/02/2026 14:10","6","1","15/02/2026 14:20","4","1","https://bit.ly/3x31","201.10.10.10","Safari","MacOS","0"
"jorge.l@laberinto.ar","24/08/2023 19:00","20260220","180","35","10","S","N","N","20/02/2026 18:00","20/02/2026 18:05","5","1","20/02/2026 18:10","3","1","https://bit.ly/3x32","189.5.5.5","Firefox","Linux","0"
"julio.c@rayuela.fr","12/02/2024 08:00","20260221","92","15","5","N","N","N","21/02/2026 09:00","21/02/2026 09:05","4","0","21/02/2026 09:10","2","0","https://bit.ly/3x33","172.16.1.1","Chrome","Windows","0"
"pablo.n@poeta.cl","12/07/2023 20:00","20260211","210","40","9","S","N","N","11/02/2026 21:00","11/02/2026 21:10","10","3","11/02/2026 21:15","6","2","https://bit.ly/3x34","187.2.2.2","Chrome","Android","0"
"gabriela.m@chile.cl","07/04/2024 11:00","20260222","40","8","3","N","N","N","22/02/2026 10:00","22/02/2026 10:05","2","0","22/02/2026 10:10","1","0","https://bit.ly/3x35","201.3.3.3","Safari","iOS","0"
"ruben.d@prosa.ni","18/01/2024 15:00","20260130","55","5","0","S","N","N","30/01/2026 12:00","30/01/2026 12:15","1","0","30/01/2026 12:30","1","0","https://bit.ly/3x36","192.168.0.100","Chrome","Windows","0"
"federico.g@poeta.es","05/06/2024 10:00","20260214","32","7","2","N","N","N","14/02/2026 09:00","14/02/2026 09:10","2","0","14/02/2026 09:15","1","0","https://bit.ly/3x37","189.7.7.7","Edge","Windows","0"
"antonio.m@castilla.es","26/07/2023 12:00","20260220","115","22","6","S","N","N","20/02/2026 11:00","20/02/2026 11:05","5","1","20/02/2026 11:15","3","0","https://bit.ly/3x38","10.1.1.1","Chrome","Windows","0"
"miguel.h@viento.es","30/10/2024 14:00","20260222","25","5","2","N","N","N","22/02/2026 15:00","22/02/2026 15:05","1","0","22/02/2026 15:10","1","0","https://bit.ly/3x39","187.9.9.9","Chrome","Android","0"
"camilo.j@ceuta.es","11/05/2024 09:00","20260219","64","12","4","N","N","N","19/02/2026 14:00","19/02/2026 14:10","3","0","19/02/2026 14:20","2","0","https://bit.ly/3x40","192.168.1.10","Chrome","Windows","0"
"rafael.a@cadiz.es","16/12/2023 21:00","20260221","120","25","8","S","N","N","21/02/2026 12:00","21/02/2026 12:05","6","2","21/02/2026 12:15","4","1","https://bit.ly/3x41","201.4.4.4","Safari","iOS","0"
"luis.c@cordoba.es","20/01/2024 11:00","20260222","45","9","3","N","N","N","22/02/2026 17:00","22/02/2026 17:05","2","0","22/02/2026 17:10","1","0","https://bit.ly/3x42","189.3.3.3","Chrome","Windows","0"
"quevedo.f@madrid.es","14/09/2023 13:00","20260212","140","20","5","S","N","N","12/02/2026 10:00","12/02/2026 10:05","8","1","12/02/2026 10:15","5","1","https://bit.ly/3x43","10.0.0.5","Chrome","Windows","0"
"lope.v@teatro.es","25/11/2023 20:00","20260220","190","38","11","N","N","N","20/02/2026 21:00","20/02/2026 21:05","10","3","20/02/2026 21:15","7","2","https://bit.ly/3x44","187.1.1.5","Edge","Windows","0"
"calderon.b@vida.es","17/01/2024 07:00","20260221","77","14","4","S","N","N","21/02/2026 08:00","21/02/2026 08:10","3","0","21/02/2026 08:20","2","0","https://bit.ly/3x45","172.5.5.1","Chrome","Linux","0"
"rosalia.c@galicia.es","24/02/2024 16:00","20260222","50","11","4","N","N","N","22/02/2026 09:00","22/02/2026 09:10","2","0","22/02/2026 09:15","1","0","https://bit.ly/3x46","201.2.2.8","Safari","MacOS","0"
